SPECIES_CODE,SCI_NAME,PRIMARY_COM_NAME,PRI_COM_NAME_INDXD,AUTHORITY_CODE,AUTHORITY_VER,TAXON_ORDER,SPARSE_REPORT_AS,REPORT_AS,CATEGORY,ORDER1,FAMILY,EXTINCT,EXTINCT_YEAR,TAXON_CODE
yeebul1,Pycnonotus penicillatus,Yellow-eared Bulbul,"Bulbul, Yellow-eared",EBIRD,2017.02,21485.277,,yeebul1,species,Passeriformes,Pycnonotidae (Bulbuls),0,,TC008489
yebgre1,Chlorocichla flaviventris,Yellow-bellied Greenbul,"Greenbul, Yellow-bellied",EBIRD,2017.02,21485.052,,yebgre1,species,Passeriformes,Pycnonotidae (Bulbuls),0,,TC008520
olibul1,Iole viridescens,Olive Bulbul,"Bulbul, Olive",EBIRD,2017.02,21485.379,,olibul1,species,Passeriformes,Pycnonotidae (Bulbuls),0,,TC008561
bkctch1,Tchagra senegalus,Black-crowned Tchagra,"Tchagra, Black-crowned",EBIRD,2017.02,16744,,bkctch1,species,Passeriformes,Malaconotidae (Bushshrikes and Allies),0,,TC007059
waicis1,Cisticola lais,Wailing Cisticola,"Cisticola, Wailing",EBIRD,2017.02,22749,,waicis1,species,Passeriformes,Cisticolidae (Cisticolas and Allies),0,,TC008862
ruvpri1,Prinia burnesii,Rufous-vented Prinia,"Prinia, Rufous-vented",EBIRD,2017.02,22970,,ruvpri1,species,Passeriformes,Cisticolidae (Cisticolas and Allies),0,,TC008911
brhapa1,Apalis alticola,Brown-headed Apalis,"Apalis, Brown-headed",EBIRD,2017.02,22594,,brhapa1,species,Passeriformes,Cisticolidae (Cisticolas and Allies),0,,TC008826
jaweye2,Zosterops flavus,Javan White-eye,"White-eye, Javan",EBIRD,2017.02,23377.00499,,jaweye2,species,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",0,,TC009911
bhweye1,Zosterops hypoxanthus,Black-headed White-eye,"White-eye, Black-headed",EBIRD,2017.02,23377.00537,,bhweye1,species,Passeriformes,"Zosteropidae (White-eyes, Yuhinas, and Allies)",0,,TC009926
rtweye1,Madanga ruficollis,Madanga,Madanga,EBIRD,2017.02,27536.5,,rtweye1,species,Passeriformes,Motacillidae (Wagtails and Pipits),0,,TC009965
baswar1,Bradypterus alfredi,Bamboo Warbler,"Warbler, Bamboo",EBIRD,2017.02,22328,,baswar1,species,Passeriformes,Locustellidae (Grassbirds and Allies),0,,TC008742
pagwar1,Locustella certhiola,Pallas's Grasshopper-Warbler,"Warbler, Pallas's Grasshopper-",EBIRD,2017.02,22335,,pagwar1,species,Passeriformes,Locustellidae (Grassbirds and Allies),0,,TC008764
boowar1,Iduna caligata,Booted Warbler,"Warbler, Booted",EBIRD,2017.02,22183.5,,boowar1,species,Passeriformes,Acrocephalidae (Reed Warblers and Allies),0,,TC008680
olbtai1,Orthotomus sepium,Olive-backed Tailorbird,"Tailorbird, Olive-backed",EBIRD,2017.02,22949,,olbtai1,species,Passeriformes,Cisticolidae (Cisticolas and Allies),0,,TC008906
neuwar1,Urosphena neumanni,Neumann's Warbler,"Warbler, Neumann's",EBIRD,2017.02,21963.097,,neuwar1,species,Passeriformes,Scotocercidae (Bush Warblers and Allies),0,,TC008999
salwar1,Phylloscopus borealoides,Sakhalin Leaf Warbler,"Warbler, Sakhalin Leaf",EBIRD,2017.02,22062,,salwar1,species,Passeriformes,Phylloscopidae (Leaf Warblers),0,,TC008638
rufwar1,Abroscopus albogularis,Rufous-faced Warbler,"Warbler, Rufous-faced",EBIRD,2017.02,21963.1139,,rufwar1,species,Passeriformes,Scotocercidae (Bush Warblers and Allies),0,,TC008229
blalau1,Garrulax lugubris,Black Laughingthrush,"Laughingthrush, Black",EBIRD,2017.02,23377.01269,,blalau1,species,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),0,,TC009578
gialau1,Ianthocincla maxima,Giant Laughingthrush,"Laughingthrush, Giant",EBIRD,2017.02,23377.01299,,gialau1,species,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),0,,TC009602
mouill1,Illadopsis pyrrhoptera,Mountain Illadopsis,"Illadopsis, Mountain",EBIRD,2017.02,23377.00964,,mouill1,species,Passeriformes,Pellorneidae (Ground Babblers and Allies),0,,TC009668
liwbab1,Turdinus crispifrons,Limestone Wren-Babbler,"Babbler, Limestone Wren-",EBIRD,2017.02,23377.01072,,liwbab1,species,Passeriformes,Pellorneidae (Ground Babblers and Allies),0,,TC009702
whnbab1,Stachyris leucotis,White-necked Babbler,"Babbler, White-necked",EBIRD,2017.02,23377.00875,,whnbab1,species,Passeriformes,"Timaliidae (Tree-Babblers, Scimitar-Babblers, and Allies)",0,,TC009747
scacha1,Turdoides aylmeri,Scaly Chatterer,"Chatterer, Scaly",EBIRD,2017.02,23377.01167,,scacha1,species,Passeriformes,Leiothrichidae (Laughingthrushes and Allies),0,,TC009776
yetful1,Schoeniparus cinereus,Yellow-throated Fulvetta,"Fulvetta, Yellow-throated",EBIRD,2017.02,23377.00926,,yetful1,species,Passeriformes,Pellorneidae (Ground Babblers and Allies),0,,TC009825
golpar2,Suthora verreauxi,Golden Parrotbill,"Parrotbill, Golden",EBIRD,2017.02,23365,,golpar2,species,Passeriformes,"Paradoxornithidae (Parrotbills, Wrentit, and Allies)",0,,TC009027
barwar1,Sylvia nisoria,Barred Warbler,"Warbler, Barred",EBIRD,2017.02,23147,,barwar1,species,Passeriformes,Sylviidae (Sylviid Warblers),0,,TC008955
slblar1,Mirafra somalica,Somali Long-billed Lark,"Lark, Somali Long-billed",EBIRD,2017.02,19709,,slblar1,species,Passeriformes,Alaudidae (Larks),0,,TC007916
monlar1,Melanocorypha mongolica,Mongolian Lark,"Lark, Mongolian",EBIRD,2017.02,19916.826,,monlar1,species,Passeriformes,Alaudidae (Larks),0,,TC007967
gorflo1,Dicaeum annae,Golden-rumped Flowerpecker,"Flowerpecker, Golden-rumped",EBIRD,2017.02,26797,,gorflo1,species,Passeriformes,Dicaeidae (Flowerpeckers),0,,TC010166
recflo1,Dicaeum geelvinkianum,Red-capped Flowerpecker,"Flowerpecker, Red-capped",EBIRD,2017.02,26889,,recflo1,species,Passeriformes,Dicaeidae (Flowerpeckers),0,,TC010190
sackin2,Todiramphus sanctus sanctus,Sacred Kingfisher (Australasian),"Kingfisher, Sacred (Australasian)",EBIRD,2017.02,9837,sackin1,sackin1,issf,Coraciiformes,Alcedinidae (Kingfishers),0,,TC004454
rinkin4,Megaceryle torquata stellata,Ringed Kingfisher (Patagonian),"Kingfisher, Ringed (Patagonian)",EBIRD,2017.02,9930,rinkin1,rinkin1,issf,Coraciiformes,Alcedinidae (Kingfishers),0,,TC004485
mantho1,Phacellodomus [undescribed form],Mantaro Thornbird (undescribed form),"Thornbird, Mantaro (undescribed form)",EBIRD,2017.02,13689.8,,mantho1,form,Passeriformes,Furnariidae (Ovenbirds and Woodcreepers),0,,TC005332
fotfly4,Tyrannus savana circumdatus,Fork-tailed Flycatcher (circumdatus),"Flycatcher, Fork-tailed (circumdatus)",EBIRD,2017.02,15073,fotfly,fotfly,issf,Passeriformes,Tyrannidae (Tyrant Flycatchers),0,,TC006441
